Station,Order,All,All12,All13,All14,Deaths,Deaths12,Deaths13,Deaths14,Male,Male12,Male13,Male14,Female,Female12,Female13,Female14,Day,12Day,13Day,14Day,Night,12Night,13Night,14Night,Line,Type,rX,rY,inx1,iny1,inx2,iny2,outx1,outy1,outx2,outy2
Thane,1,211,211,129,53,50,50,27,12,171,171,107,43,40,40,22,10,147,147,70,27,64,64,59,26,CR,Interchange,400,290,0,300,400,300,445,300,445,0
Mulund,2,124,124,120,137,31,31,28,20,107,107,93,107,17,17,27,30,67,67,75,86,57,57,45,51,CR,Slow,660,290,490,300,660,300,750,300,750,300
Nahur,3,6,6,1,22,0,0,1,1,4,4,1,16,2,2,0,6,6,6,0,16,0,0,1,6,CR,Slow,880,290,750,300,880,300,970,300,970,300
Bhandup,4,72,72,67,47,25,25,13,3,64,64,59,41,8,8,8,6,39,39,38,32,33,33,29,15,CR,Fast,1320,290,970,300,1320,300,1410,300,1410,300
Kanjurmarg,5,13,13,4,0,8,8,1,0,13,13,4,0,0,0,0,0,9,9,2,0,4,4,2,0,CR,Slow,1540,290,1410,300,1540,300,1630,300,1630,300
Vikhroli,6,63,63,66,72,19,19,9,18,56,56,59,59,7,7,7,13,40,40,35,39,23,23,31,33,CR,Slow,1760,290,1630,300,1760,300,1850,300,1850,300
Ghatkopar,7,157,157,138,137,27,27,26,16,138,138,125,113,19,19,13,24,96,96,90,82,60,60,48,55,CR,Fast,1980,290,1850,300,1980,300,2070,300,2070,300
Vidhyavihar,8,22,22,0,1,3,3,0,1,18,18,0,1,4,4,0,0,13,13,0,1,9,9,0,0,CR,Slow,2420,290,2070,300,2420,300,2510,300,2510,300
Kurla,9,274,274,277,301,46,46,34,14,246,246,230,245,28,28,47,56,164,164,174,199,110,110,102,102,CR,Interchange,2640,290,2510,300,2640,300,2730,300,2730,300
Sion,10,74,74,41,41,25,25,11,14,66,66,35,35,8,8,6,6,46,46,31,27,27,27,10,14,CR,Slow,2860,290,2730,300,2860,300,2950,300,2950,300
Matunga,11,15,15,3,0,5,5,1,0,15,15,2,0,0,0,1,0,8,8,3,0,7,7,0,0,CR,Slow,3080,290,2950,300,3080,300,3170,300,3170,300
Dadar C,12,38,38,39,34,9,9,3,4,35,35,28,25,3,3,11,9,20,20,23,24,18,18,16,10,CR,Interchange,3520,290,3170,300,3520,300,3565,300,3565,350
Parel,13,29,29,47,41,5,5,6,3,18,18,38,37,11,11,9,4,21,21,31,31,8,8,16,10,CR,Slow,3740,290,3610,300,3740,300,3785,300,3785,350
Curry Road,14,8,8,0,0,2,2,0,0,5,5,0,0,3,3,0,0,4,4,0,0,4,4,0,0,CR,Slow,3960,290,3830,300,3960,300,4050,300,4050,300
Chinchpokli,15,13,13,4,3,1,1,0,1,11,11,2,2,2,2,2,1,10,10,4,3,3,3,0,0,CR,Slow,4180,290,4050,300,4180,300,4270,300,4270,300
Byculla,16,5,5,21,30,6,6,3,3,5,5,19,26,0,0,2,4,1,1,12,22,4,4,9,8,CR,Fast,4620,290,4270,300,4620,300,4885,300,4885,0
Sandhurst Road,17,30,30,19,0,4,4,2,0,29,29,18,0,1,1,1,0,19,19,9,0,11,11,10,0,CR,Slow,4840,290,4710,300,4840,300,4930,305,5810,305
Masjid,18,24,24,12,1,4,4,1,0,21,21,12,1,3,3,0,0,16,16,7,1,8,8,5,0,CR,Slow,5720,290,4930,300,5720,300,5810,305,6030,305
CST Mumbai,19,140,140,144,103,0,0,3,0,107,107,99,73,33,33,45,30,88,88,106,69,52,52,38,34,CR,Interchange,5940,290,5810,300,5940,300,6030,300,6030,300
Andheri,1,101,101,127,112,8,8,10,10,88,88,111,101,11,11,15,11,23,23,-1,-1,15,15,-1,-1,WR,Interchange,1540,340,0,350,1540,350,1630,355,1760,355
Vile Parle,2,63,63,74,75,4,4,11,11,60,60,68,67,2,2,6,8,8,8,-1,-1,11,11,-1,-1,WR,Slow,1760,340,1630,350,1760,350,1850,355,1980,355
Santacruz,3,47,47,69,42,4,4,7,7,43,43,63,37,3,3,6,5,10,10,-1,-1,4,4,-1,-1,WR,Slow,1980,340,1850,350,1980,350,2070,355,2420,355
Khar,4,45,45,44,53,10,10,6,6,38,38,40,48,6,6,4,5,8,8,-1,-1,10,10,-1,-1,WR,Slow,2420,340,2070,350,2420,350,2510,355,2640,355
Bandra,5,102,102,110,96,6,6,10,10,86,86,95,82,15,15,15,14,22,22,-1,-1,10,10,-1,-1,WR,Interchange,2640,340,2510,350,2640,350,2685,355,2685,0
Mahim,6,67,67,78,79,21,21,22,22,61,61,71,72,5,5,7,7,17,17,-1,-1,7,7,-1,-1,WR,Slow,2860,340,2730,350,2860,350,2950,350,2950,350
Matunga Road,7,21,21,18,23,6,6,1,1,17,17,17,19,3,3,1,4,7,7,-1,-1,4,4,-1,-1,WR,Slow,3080,340,2950,350,3080,350,3170,350,3170,350
Dadar W,8,80,80,71,61,24,24,7,7,64,64,58,50,16,16,13,11,12,12,-1,-1,14,14,-1,-1,WR,Interchange,3520,340,3170,350,3520,350,3610,350,3610,350
Elphinstone Road,9,28,28,36,28,1,1,9,9,25,25,29,26,3,3,7,2,8,8,-1,-1,7,7,-1,-1,WR,Slow,3740,340,3610,350,3740,350,3830,350,3830,350
Lower Parel,10,48,48,60,37,15,15,10,10,47,47,56,33,0,0,4,4,10,10,-1,-1,8,8,-1,-1,WR,Slow,3960,340,3830,350,3960,350,4050,350,4050,350
Mahalaxmi,11,33,33,35,32,6,6,4,4,28,28,30,26,5,5,5,6,4,4,-1,-1,2,2,-1,-1,WR,Slow,4180,340,4050,350,4180,350,4270,350,4270,350
Mumbai Central,12,68,68,71,70,11,11,6,6,57,57,62,63,7,7,9,7,13,13,-1,-1,14,14,-1,-1,WR,Slow,4620,340,4270,350,4620,350,4710,350,4710,350
Grant Road,13,31,31,29,29,9,9,7,7,29,29,28,26,1,1,1,3,5,5,-1,-1,3,3,-1,-1,WR,Fast,4840,340,4710,350,4840,350,4930,350,4930,350
Charni Road,14,25,25,30,27,6,6,8,8,21,21,24,25,4,4,6,2,10,10,-1,-1,4,4,-1,-1,WR,Slow,5060,340,4930,350,5060,350,5150,350,5150,350
Marine Lines,15,24,24,23,31,3,3,4,4,21,21,19,28,3,3,4,3,5,5,-1,-1,4,4,-1,-1,WR,Slow,5280,340,5150,350,5280,350,5370,350,5370,350
Churchgate,16,47,47,54,40,2,2,0,0,41,41,43,36,6,6,11,4,4,4,-1,-1,5,5,-1,-1,WR,Interchange,5720,340,5370,350,5720,350,5810,350,5810,350
