Station,Order,Year,All,Deaths,Male,Female,Day,Night,Line,Type,rX,rY,inx1,iny1,inx2,iny2,outx1,outy1,outx2,outy2,,,
Thane,1,2014,53,12,43,10,27,26,CR,Interchange,500,240,0,250,500,250,590,250,1100,250,480,0,480
Mulund,2,2014,137,20,107,30,86,51,CR,Slow,1375,240,1100,250,1375,250,1465,250,1465,250,275,1100,1375
Nahur,3,2014,22,1,16,6,16,6,CR,Slow,1650,240,1100,250,1650,250,1740,250,1740,250,550,1100,1650
Bhandup,4,2014,47,3,41,6,32,15,CR,Fast,1925,240,1100,250,1925,250,2015,250,2200,250,825,1100,1925
Kanjurmarg,5,2014,0,0,0,0,0,0,CR,Slow,2475,240,2200,250,2475,250,2565,250,2565,250,275,2200,2475
Vikhroli,6,2014,72,18,59,13,39,33,CR,Slow,2750,240,2200,250,2750,250,2840,250,2840,250,550,2200,2750
Ghatkopar,7,2014,137,16,113,24,82,55,CR,Fast,3025,240,2200,250,3025,250,3115,250,3300,250,825,2200,3025
Vidhyavihar,8,2014,1,1,1,13,1,0,CR,Slow,3575,240,3300,250,3575,250,3665,250,3665,250,275,3300,3575
Kurla,9,2014,301,14,245,56,199,102,CR,Interchange,3850,240,3300,250,3850,250,3940,250,3940,250,550,3300,3850
Sion,10,2014,41,14,35,6,27,14,CR,Slow,4125,240,3300,250,4125,250,4215,250,4400,250,825,3300,4125
Matunga,11,2014,0,0,0,0,0,0,CR,Slow,4675,240,4400,250,4675,250,4765,250,4765,250,275,4400,4675
Dadar C,12,2014,34,4,25,9,24,10,CR,Interchange,4950,240,4400,250,4950,250,5040,250,5040,250,550,4400,4950
Parel,13,2014,41,3,37,4,31,10,CR,Slow,5225,240,4400,250,5225,250,5315,250,5500,250,825,4400,5225
Curry Road,14,2014,0,0,0,0,0,0,CR,Slow,5775,240,5500,250,5775,250,5865,250,5865,250,275,5500,5775
Chinchpokli,15,2014,3,1,2,1,3,0,CR,Slow,6050,240,5500,250,6050,250,6140,250,6140,250,550,5500,6050
Byculla,16,2014,30,3,26,4,22,8,CR,Fast,6325,240,5500,250,6325,250,6415,250,6600,250,825,5500,6325
Sandhurst Road,17,2014,0,0,0,0,0,0,CR,Slow,6875,240,6600,250,6875,250,6965,250,6965,250,275,6600,6875
Masjid,18,2014,1,0,1,0,1,0,CR,Slow,7150,240,6600,250,7150,250,7240,250,7700,250,550,6600,7150
CST Mumbai,19,2014,103,0,73,30,69,34,CR,Interchange,7975,240,7700,250,7975,250,8065,250,8065,250,275,7700,7975
Andheri,1,2014,112,10,101,11,-1,-1,WR,Interchange,2475,490,0,500,2475,500,2565,500,2565,500,275,2200,2475
Vile Parle,2,2014,75,11,66,8,-1,-1,WR,Slow,2750,490,2200,500,2750,500,2840,500,2840,500,550,2200,2750
Santacruz,3,2014,42,7,37,5,-1,-1,WR,Slow,3025,490,2200,500,3025,500,3115,500,3300,500,825,2200,3025
Khar,4,2014,53,6,48,5,-1,-1,WR,Slow,3575,490,3300,500,3575,500,3665,500,3665,500,275,3300,3575
Bandra,5,2014,96,10,82,14,-1,-1,WR,Interchange,3850,490,3300,500,3850,500,3940,500,3940,500,550,3300,3850
Mahim,6,2014,79,22,72,7,-1,-1,WR,Slow,4125,490,3300,500,4125,500,4215,500,4400,500,825,3300,4125
Matunga Road,7,2014,23,1,19,4,-1,-1,WR,Slow,4675,490,4400,500,4675,500,4765,500,4765,500,275,4400,4675
Dadar W,8,2014,61,7,49,11,-1,-1,WR,Interchange,4950,490,4400,500,4950,500,5040,500,5040,500,550,4400,4950
Elphinstone Road,9,2014,28,9,26,2,-1,-1,WR,Slow,5225,490,4400,500,5225,500,5315,500,5500,500,825,4400,5225
Lower Parel,10,2014,37,10,33,4,-1,-1,WR,Slow,5775,490,5500,500,5775,500,5865,500,5865,500,275,5500,5775
Mahalaxmi,11,2014,32,4,26,6,-1,-1,WR,Slow,6050,490,5500,500,6050,500,6140,500,6140,500,550,5500,6050
Mumbai Central,12,2014,70,6,63,7,-1,-1,WR,Slow,6325,490,5500,500,6325,500,6415,500,6600,500,825,5500,6325
Grant Road,13,2014,29,7,26,3,-1,-1,WR,Fast,6875,490,6600,500,6875,500,6965,500,6965,500,275,6600,6875
Charni Road,14,2014,27,8,25,2,-1,-1,WR,Slow,7150,490,6600,500,7150,500,7240,500,7700,500,550,6600,7150
Marine Lines,15,2014,31,4,28,3,-1,-1,WR,Slow,7975,490,7700,500,7975,500,8065,500,8065,500,275,7700,7975
Churchgate,16,2014,40,0,36,4,-1,-1,WR,Interchange,8250,490,7700,500,8250,500,8340,500,8340,500,550,7700,8250
