Date,All,CR,WR,CSTMumbai,Masjid,Sandhurst,Byculla,Chinchpokli,Curry Road,Parel,Dadar C,Matunga,Sion,Kurla,Vidhyavihar,Ghatkopar,Vikhroli,Kanjurmarg,Bhandup,Nahur,Mulund,Thane,,
01-01-2011,8,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,
02-01-2011,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
03-01-2011,10,5,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,
04-01-2011,6,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,
05-01-2011,8,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
06-01-2011,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
07-01-2011,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
08-01-2011,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
09-01-2011,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
10-01-2011,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11-01-2011,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12-01-2011,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13-01-2011,6,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
14-01-2011,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15-01-2011,10,4,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
16-01-2011,10,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,
17-01-2011,10,5,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,
18-01-2011,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19-01-2011,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20-01-2011,7,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
21-01-2011,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
22-01-2011,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
23-01-2011,8,4,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,
24-01-2011,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25-01-2011,7,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,,
26-01-2011,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
27-01-2011,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-01-2011,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
29-01-2011,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
30-01-2011,6,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
31-01-2011,8,5,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,
01-02-2011,5,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
02-02-2011,7,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
03-02-2011,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
04-02-2011,8,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
05-02-2011,4,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
06-02-2011,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,
07-02-2011,7,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
08-02-2011,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
09-02-2011,5,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
10-02-2011,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
