Date,Count
01-01-2014,2
02-01-2014,5
03-01-2014,8
04-01-2014,2
05-01-2014,0
06-01-2014,5
07-01-2014,4
08-01-2014,4
09-01-2014,3
10-01-2014,4
11-01-2014,2
12-01-2014,3
13-01-2014,3
14-01-2014,1
15-01-2014,4
16-01-2014,3
17-01-2014,1
18-01-2014,2
19-01-2014,5
20-01-2014,5
21-01-2014,7
22-01-2014,1
23-01-2014,3
24-01-2014,1
25-01-2014,3
26-01-2014,2
27-01-2014,3
28-01-2014,3
29-01-2014,4
30-01-2014,3
31-01-2014,2
01-02-2014,4
02-02-2014,6
03-02-2014,3
04-02-2014,4
05-02-2014,3
06-02-2014,2
07-02-2014,1
08-02-2014,2
09-02-2014,6
10-02-2014,6
11-02-2014,3
12-02-2014,4
13-02-2014,1
14-02-2014,2
15-02-2014,3
16-02-2014,2
17-02-2014,4
18-02-2014,4
19-02-2014,6
20-02-2014,2
21-02-2014,2
22-02-2014,1
23-02-2014,2
24-02-2014,4
25-02-2014,3
26-02-2014,6
27-02-2014,2
28-02-2014,2
01-03-2014,3
02-03-2014,4
03-03-2014,1
04-03-2014,5
05-03-2014,11
06-03-2014,2
07-03-2014,2
08-03-2014,1
09-03-2014,3
10-03-2014,3
11-03-2014,1
12-03-2014,2
13-03-2014,3
14-03-2014,1
15-03-2014,2
16-03-2014,2
17-03-2014,6
18-03-2014,6
19-03-2014,6
20-03-2014,1
21-03-2014,11
22-03-2014,0
23-03-2014,2
24-03-2014,7
25-03-2014,4
26-03-2014,1
27-03-2014,3
28-03-2014,3
29-03-2014,1
30-03-2014,3
31-03-2014,5
01-04-2014,1
02-04-2014,2
03-04-2014,5
04-04-2014,4
05-04-2014,4
06-04-2014,3
07-04-2014,2
08-04-2014,1
09-04-2014,2
10-04-2014,7
11-04-2014,1
12-04-2014,3
13-04-2014,0
14-04-2014,4
15-04-2014,3
16-04-2014,4
17-04-2014,0
18-04-2014,1
19-04-2014,3
20-04-2014,3
21-04-2014,5
22-04-2014,0
23-04-2014,5
24-04-2014,7
25-04-2014,1
26-04-2014,3
27-04-2014,0
28-04-2014,4
29-04-2014,0
30-04-2014,3
01-05-2014,4
02-05-2014,2
03-05-2014,2
04-05-2014,0
05-05-2014,0
06-05-2014,5
07-05-2014,2
08-05-2014,4
09-05-2014,3
10-05-2014,2
11-05-2014,2
12-05-2014,7
13-05-2014,4
14-05-2014,4
15-05-2014,0
16-05-2014,2
17-05-2014,2
18-05-2014,3
19-05-2014,2
20-05-2014,5
21-05-2014,7
22-05-2014,3
23-05-2014,4
24-05-2014,1
25-05-2014,2
26-05-2014,2
27-05-2014,5
28-05-2014,0
29-05-2014,2
30-05-2014,5
31-05-2014,7
01-06-2014,0
02-06-2014,6
03-06-2014,2
04-06-2014,4
05-06-2014,7
06-06-2014,4
07-06-2014,3
08-06-2014,6
09-06-2014,4
10-06-2014,6
11-06-2014,3
12-06-2014,5
13-06-2014,3
14-06-2014,4
15-06-2014,1
16-06-2014,4
17-06-2014,5
18-06-2014,5
19-06-2014,1
20-06-2014,5
21-06-2014,6
22-06-2014,0
23-06-2014,5
24-06-2014,3
25-06-2014,1
26-06-2014,4
27-06-2014,3
28-06-2014,2
29-06-2014,4
30-06-2014,0
01-07-2014,2
02-07-2014,3
03-07-2014,3
04-07-2014,2
05-07-2014,4
06-07-2014,5
07-07-2014,1
08-07-2014,1
09-07-2014,3
