date,time
01-01-2012,00:48
01-01-2012,00:55
01-01-2012,00:55
01-01-2012,01:13
01-01-2012,02:15
01-01-2012,09:00
01-01-2012,11:35
01-01-2012,11:35
01-01-2012,12:00
01-01-2012,14:25
01-01-2012,15:00
01-01-2012,15:25
01-01-2012,17:40
01-01-2012,17:45
01-01-2012,18:20
01-01-2012,23:05
02-01-2012,00:05
02-01-2012,01:00
02-01-2012,07:55
02-01-2012,10:35
02-01-2012,12:00
02-01-2012,19:15
02-01-2012,19:40
02-01-2012,23:55
03-01-2012,05:00
03-01-2012,07:00
03-01-2012,12:20
03-01-2012,12:20
03-01-2012,12:30
03-01-2012,13:00
03-01-2012,15:00
03-01-2012,18:50
03-01-2012,18:50
03-01-2012,21:05
04-01-2012,08:15
04-01-2012,09:20
04-01-2012,09:20
04-01-2012,12:40
04-01-2012,14:30
04-01-2012,14:32
04-01-2012,14:50
04-01-2012,17:50
04-01-2012,18:30
04-01-2012,18:40
04-01-2012,22:00
04-01-2012,23:10
04-01-2012,23:10
05-01-2012,03:30
05-01-2012,03:30
05-01-2012,11:55
05-01-2012,13:03
05-01-2012,13:35
05-01-2012,18:20
05-01-2012,18:20
05-01-2012,22:00
05-01-2012,22:45
06-01-2012,08:55
06-01-2012,13:30
06-01-2012,17:30
06-01-2012,17:40
06-01-2012,19:50
06-01-2012,20:50
06-01-2012,22:00
07-01-2012,00:30
07-01-2012,00:50
07-01-2012,01:45
07-01-2012,01:45
07-01-2012,06:00
07-01-2012,07:50
07-01-2012,07:55
07-01-2012,09:25
07-01-2012,09:30
07-01-2012,09:35
07-01-2012,09:45
07-01-2012,10:00
07-01-2012,10:30
07-01-2012,10:36
07-01-2012,11:17
07-01-2012,11:45
07-01-2012,12:40
07-01-2012,16:10
07-01-2012,20:58
07-01-2012,21:00
08-01-2012,00:22
08-01-2012,08:05
08-01-2012,08:45
08-01-2012,09:30
08-01-2012,10:15
08-01-2012,10:15
08-01-2012,11:24
08-01-2012,13:10
08-01-2012,13:20
08-01-2012,18:45
08-01-2012,19:00
08-01-2012,19:45
08-01-2012,20:55
08-01-2012,22:30
08-01-2012,22:30
09-01-2012,00:05
09-01-2012,01:10
09-01-2012,09:40
09-01-2012,11:15
09-01-2012,11:15
09-01-2012,11:45
09-01-2012,14:58
09-01-2012,15:05
09-01-2012,15:10
09-01-2012,15:16
09-01-2012,18:20
09-01-2012,19:40
09-01-2012,21:40
09-01-2012,23:25
10-01-2012,07:38
10-01-2012,08:50
10-01-2012,12:55
10-01-2012,13:00
10-01-2012,13:00
10-01-2012,13:45
10-01-2012,15:15
10-01-2012,15:15
10-01-2012,15:15
10-01-2012,15:27
10-01-2012,18:25
10-01-2012,19:15
11-01-2012,09:20
11-01-2012,10:30
11-01-2012,12:50
11-01-2012,12:50
11-01-2012,17:40
11-01-2012,18:50
11-01-2012,21:15
12-01-2012,04:45
12-01-2012,04:45
12-01-2012,09:45
12-01-2012,09:45
12-01-2012,10:00
12-01-2012,11:15
12-01-2012,11:25
12-01-2012,12:15
12-01-2012,12:50
12-01-2012,13:35
12-01-2012,16:45
12-01-2012,16:50
12-01-2012,16:50
12-01-2012,17:05
12-01-2012,18:00
12-01-2012,19:20
12-01-2012,19:20
13-01-2012,01:15
13-01-2012,04:00
13-01-2012,09:15
13-01-2012,09:25
13-01-2012,09:40
13-01-2012,09:40
13-01-2012,10:05
13-01-2012,10:05
13-01-2012,11:40
13-01-2012,12:40
13-01-2012,17:25
13-01-2012,17:25
14-01-2012,03:20
14-01-2012,03:30
14-01-2012,09:17
14-01-2012,11:00
14-01-2012,15:45
14-01-2012,16:15
14-01-2012,17:05
14-01-2012,19:05
14-01-2012,21:45
14-01-2012,21:45
14-01-2012,21:50
15-01-2012,01:00
15-01-2012,01:50
15-01-2012,04:00
15-01-2012,08:00
15-01-2012,08:00
15-01-2012,10:20
15-01-2012,10:40
15-01-2012,11:15
15-01-2012,11:15
15-01-2012,13:40
15-01-2012,14:00
15-01-2012,14:05
15-01-2012,16:17
15-01-2012,19:15
15-01-2012,20:20
15-01-2012,21:50
15-01-2012,21:50
15-01-2012,22:40
15-01-2012,23:15
16-01-2012,00:01
16-01-2012,09:30
16-01-2012,10:05
16-01-2012,12:44
16-01-2012,12:44
16-01-2012,12:45
16-01-2012,12:45
16-01-2012,12:50
16-01-2012,12:50
16-01-2012,12:50
16-01-2012,13:30
16-01-2012,17:15
16-01-2012,18:55
16-01-2012,19:05
16-01-2012,19:55
16-01-2012,21:05
16-01-2012,21:15
16-01-2012,22:50
17-01-2012,06:30
17-01-2012,06:30
17-01-2012,07:00
17-01-2012,07:04
17-01-2012,07:05
17-01-2012,08:30
17-01-2012,09:25
17-01-2012,10:20
17-01-2012,13:26
17-01-2012,13:26
17-01-2012,13:26
17-01-2012,13:26
17-01-2012,13:50
17-01-2012,14:05
17-01-2012,14:05
17-01-2012,14:10
17-01-2012,15:00
17-01-2012,19:54
17-01-2012,21:30
17-01-2012,21:30
17-01-2012,21:30
17-01-2012,21:35
18-01-2012,00:30
18-01-2012,09:40
18-01-2012,13:10
18-01-2012,13:26
18-01-2012,17:05
18-01-2012,17:46
18-01-2012,19:30
18-01-2012,20:45
18-01-2012,21:50
18-01-2012,22:32
19-01-2012,00:30
19-01-2012,01:00
19-01-2012,01:40
19-01-2012,06:05
19-01-2012,09:10
19-01-2012,11:10
19-01-2012,11:10
19-01-2012,11:10
19-01-2012,11:45
19-01-2012,13:12
19-01-2012,13:20
19-01-2012,13:45
19-01-2012,15:10
19-01-2012,15:30
19-01-2012,15:39
19-01-2012,15:45
19-01-2012,16:45
20-01-2012,01:20
20-01-2012,07:00
20-01-2012,09:55
20-01-2012,10:00
20-01-2012,13:05
20-01-2012,17:15
20-01-2012,21:00
20-01-2012,22:00
20-01-2012,22:01
21-01-2012,00:30
21-01-2012,00:45
