Station,Order,All2012,2013All,2014All,2012Death,2013Death,2014Death,2012AllM,2013AllM,2014AllM,2012AllF,2013AllF,2014AllF,2012DeathM,2013DeathM,2014DeathM,2012DeathF,2013DeathF,2014DeathF,2012AD,2013AD,2014AD,2012AN,2013AN,2014AN
Thane,1,211,129,53,3,27,12,,,,,,,,,,,,,,,,,,
Mulund,2,124,120,137,31,28,20,,,,,,,,,,,,,,,,,,
Nahur,3,6,1,22,5,1,1,,,,,,,,,,,,,,,,,,
Bhandup,4,72,67,47,25,13,3,,,,,,,,,,,,,,,,,,
Kanjurmarg,5,13,4,0,8,1,0,,,,,,,,,,,,,,,,,,
Vikhroli,6,63,66,72,0,9,18,,,,,,,,,,,,,,,,,,
Ghatkopar,7,157,138,137,27,26,16,,,,,,,,,,,,,,,,,,
Vidhyavihar,8,22,0,1,19,0,1,,,,,,,,,,,,,,,,,,
Kurla,9,274,277,301,46,34,14,,,,,,,,,,,,,,,,,,
Sion,10,74,41,41,50,11,14,,,,,,,,,,,,,,,,,,
Matunga,11,15,3,0,5,1,0,,,,,,,,,,,,,,,,,,
Dadar C,12,38,39,34,9,3,4,,,,,,,,,,,,,,,,,,
Parel,13,29,47,41,4,6,3,,,,,,,,,,,,,,,,,,
Curry Road,14,8,0,0,2,0,0,,,,,,,,,,,,,,,,,,
Chinchpokli,15,13,4,3,1,0,1,,,,,,,,,,,,,,,,,,
Byculla,16,5,21,30,0,3,3,,,,,,,,,,,,,,,,,,
Sandhurst Road,17,30,19,0,25,2,0,,,,,,,,,,,,,,,,,,
Masjid,18,24,12,1,4,1,0,,,,,,,,,,,,,,,,,,
CST Mumbai,19,140,144,103,6,3,0,,,,,,,,,,,,,,,,,,
